year,nuh,total_rainfall,wet_bulb_temperature,dengue,urti,diarrhea,num__wet_bulb_temperature,num__total_rainfall,num__dengue,num__urti,num__diarrhea,num__wet_bulb_temperature^2,num__wet_bulb_temperature total_rainfall,num__wet_bulb_temperature dengue,num__wet_bulb_temperature urti,num__wet_bulb_temperature diarrhea,num__total_rainfall^2,num__total_rainfall dengue,num__total_rainfall urti,num__total_rainfall diarrhea,num__dengue^2,num__dengue urti,num__dengue diarrhea,num__urti^2,num__urti diarrhea,num__diarrhea^2,cat__is_holiday_1,cat__month_Aug,cat__month_Dec,cat__month_Feb,cat__month_Jan,cat__month_Jul,cat__month_Jun,cat__month_Mar,cat__month_May,cat__month_Nov,cat__month_Oct,cat__month_Sep,cat__day_Mon,cat__day_Sat,cat__day_Sun,cat__day_Thu,cat__day_Tue,cat__day_Wed
2022,77.7,0.0,25.3,21.0,1263.0,330.0,25.3,0.0,21.0,1263.0,330.0,640.09,0.0,531.3000000000001,31953.9,8349.0,0.0,0.0,0.0,0.0,441.0,26523.0,6930.0,1595169.0,416790.0,108900.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022,77.9,0.0,25.8,26.0,1567.0,316.0,25.8,0.0,26.0,1567.0,316.0,665.64,0.0,670.8000000000001,40428.6,8152.8,0.0,0.0,0.0,0.0,676.0,40742.0,8216.0,2455489.0,495172.0,99856.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2022,77.3,2.6,25.8,26.0,1567.0,316.0,25.8,2.6,26.0,1567.0,316.0,665.64,67.08,670.8000000000001,40428.6,8152.8,6.760000000000001,67.60000000000001,4074.2000000000003,821.6,676.0,40742.0,8216.0,2455489.0,495172.0,99856.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2022,82.4,0.0,25.0,26.0,1567.0,316.0,25.0,0.0,26.0,1567.0,316.0,625.0,0.0,650.0,39175.0,7900.0,0.0,0.0,0.0,0.0,676.0,40742.0,8216.0,2455489.0,495172.0,99856.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022,83.9,4.4,25.6,26.0,1567.0,316.0,25.6,4.4,26.0,1567.0,316.0,655.3600000000001,112.64000000000001,665.6,40115.200000000004,8089.6,19.360000000000003,114.4,6894.8,1390.4,676.0,40742.0,8216.0,2455489.0,495172.0,99856.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022,83.2,2.0,25.1,26.0,1567.0,316.0,25.1,2.0,26.0,1567.0,316.0,630.0100000000001,50.2,652.6,39331.700000000004,7931.6,4.0,52.0,3134.0,632.0,676.0,40742.0,8216.0,2455489.0,495172.0,99856.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022,76.3,0.0,25.5,26.0,1567.0,316.0,25.5,0.0,26.0,1567.0,316.0,650.25,0.0,663.0,39958.5,8058.0,0.0,0.0,0.0,0.0,676.0,40742.0,8216.0,2455489.0,495172.0,99856.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,78.1,0.0,25.2,26.0,1567.0,316.0,25.2,0.0,26.0,1567.0,316.0,635.04,0.0,655.1999999999999,39488.4,7963.2,0.0,0.0,0.0,0.0,676.0,40742.0,8216.0,2455489.0,495172.0,99856.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022,78.0,0.0,25.4,24.0,1911.0,317.0,25.4,0.0,24.0,1911.0,317.0,645.16,0.0,609.5999999999999,48539.399999999994,8051.799999999999,0.0,0.0,0.0,0.0,576.0,45864.0,7608.0,3651921.0,605787.0,100489.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2022,80.6,0.0,25.4,24.0,1911.0,317.0,25.4,0.0,24.0,1911.0,317.0,645.16,0.0,609.5999999999999,48539.399999999994,8051.799999999999,0.0,0.0,0.0,0.0,576.0,45864.0,7608.0,3651921.0,605787.0,100489.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2022,80.6,0.0,25.6,24.0,1911.0,317.0,25.6,0.0,24.0,1911.0,317.0,655.3600000000001,0.0,614.4000000000001,48921.600000000006,8115.200000000001,0.0,0.0,0.0,0.0,576.0,45864.0,7608.0,3651921.0,605787.0,100489.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022,81.7,0.0,25.4,24.0,1911.0,317.0,25.4,0.0,24.0,1911.0,317.0,645.16,0.0,609.5999999999999,48539.399999999994,8051.799999999999,0.0,0.0,0.0,0.0,576.0,45864.0,7608.0,3651921.0,605787.0,100489.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022,82.9,0.0,25.0,24.0,1911.0,317.0,25.0,0.0,24.0,1911.0,317.0,625.0,0.0,600.0,47775.0,7925.0,0.0,0.0,0.0,0.0,576.0,45864.0,7608.0,3651921.0,605787.0,100489.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022,77.6,0.0,25.5,24.0,1911.0,317.0,25.5,0.0,24.0,1911.0,317.0,650.25,0.0,612.0,48730.5,8083.5,0.0,0.0,0.0,0.0,576.0,45864.0,7608.0,3651921.0,605787.0,100489.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,73.0,0.0,25.6,24.0,1911.0,317.0,25.6,0.0,24.0,1911.0,317.0,655.3600000000001,0.0,614.4000000000001,48921.600000000006,8115.200000000001,0.0,0.0,0.0,0.0,576.0,45864.0,7608.0,3651921.0,605787.0,100489.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022,72.4,3.8,25.9,22.0,2945.0,363.0,25.9,3.8,22.0,2945.0,363.0,670.81,98.41999999999999,569.8,76275.5,9401.699999999999,14.44,83.6,11191.0,1379.3999999999999,484.0,64790.0,7986.0,8673025.0,1069035.0,131769.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2022,67.5,0.0,25.8,22.0,2945.0,363.0,25.8,0.0,22.0,2945.0,363.0,665.64,0.0,567.6,75981.0,9365.4,0.0,0.0,0.0,0.0,484.0,64790.0,7986.0,8673025.0,1069035.0,131769.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2022,67.7,0.0,25.6,22.0,2945.0,363.0,25.6,0.0,22.0,2945.0,363.0,655.3600000000001,0.0,563.2,75392.0,9292.800000000001,0.0,0.0,0.0,0.0,484.0,64790.0,7986.0,8673025.0,1069035.0,131769.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022,69.8,0.0,25.3,22.0,2945.0,363.0,25.3,0.0,22.0,2945.0,363.0,640.09,0.0,556.6,74508.5,9183.9,0.0,0.0,0.0,0.0,484.0,64790.0,7986.0,8673025.0,1069035.0,131769.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022,77.7,0.2,26.0,22.0,2945.0,363.0,26.0,0.2,22.0,2945.0,363.0,676.0,5.2,572.0,76570.0,9438.0,0.04000000000000001,4.4,589.0,72.60000000000001,484.0,64790.0,7986.0,8673025.0,1069035.0,131769.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022,79.6,0.0,25.8,22.0,2945.0,363.0,25.8,0.0,22.0,2945.0,363.0,665.64,0.0,567.6,75981.0,9365.4,0.0,0.0,0.0,0.0,484.0,64790.0,7986.0,8673025.0,1069035.0,131769.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,78.2,0.8,25.6,22.0,2945.0,363.0,25.6,0.8,22.0,2945.0,363.0,655.3600000000001,20.480000000000004,563.2,75392.0,9292.800000000001,0.6400000000000001,17.6,2356.0,290.40000000000003,484.0,64790.0,7986.0,8673025.0,1069035.0,131769.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022,81.6,20.6,26.1,24.0,2645.0,323.0,26.1,20.6,24.0,2645.0,323.0,681.21,537.6600000000001,626.4000000000001,69034.5,8430.300000000001,424.36000000000007,494.40000000000003,54487.00000000001,6653.8,576.0,63480.0,7752.0,6996025.0,854335.0,104329.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2022,85.1,0.8,25.5,24.0,2645.0,323.0,25.5,0.8,24.0,2645.0,323.0,650.25,20.400000000000002,612.0,67447.5,8236.5,0.6400000000000001,19.200000000000003,2116.0,258.40000000000003,576.0,63480.0,7752.0,6996025.0,854335.0,104329.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2022,85.6,1.6,26.3,24.0,2645.0,323.0,26.3,1.6,24.0,2645.0,323.0,691.69,42.080000000000005,631.2,69563.5,8494.9,2.5600000000000005,38.400000000000006,4232.0,516.8000000000001,576.0,63480.0,7752.0,6996025.0,854335.0,104329.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022,87.9,29.6,26.5,24.0,2645.0,323.0,26.5,29.6,24.0,2645.0,323.0,702.25,784.4000000000001,636.0,70092.5,8559.5,876.1600000000001,710.4000000000001,78292.0,9560.800000000001,576.0,63480.0,7752.0,6996025.0,854335.0,104329.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022,86.1,19.6,24.3,24.0,2645.0,323.0,24.3,19.6,24.0,2645.0,323.0,590.49,476.28000000000003,583.2,64273.5,7848.900000000001,384.1600000000001,470.40000000000003,51842.00000000001,6330.8,576.0,63480.0,7752.0,6996025.0,854335.0,104329.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022,85.7,3.8,25.1,24.0,2645.0,323.0,25.1,3.8,24.0,2645.0,323.0,630.0100000000001,95.38,602.4000000000001,66389.5,8107.3,14.44,91.19999999999999,10051.0,1227.3999999999999,576.0,63480.0,7752.0,6996025.0,854335.0,104329.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,81.1,0.0,25.4,24.0,2645.0,323.0,25.4,0.0,24.0,2645.0,323.0,645.16,0.0,609.5999999999999,67183.0,8204.199999999999,0.0,0.0,0.0,0.0,576.0,63480.0,7752.0,6996025.0,854335.0,104329.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2022,82.1,20.6,25.9,29.0,3256.0,317.0,25.9,20.6,29.0,3256.0,317.0,670.81,533.54,751.0999999999999,84330.4,8210.3,424.36000000000007,597.4000000000001,67073.6,6530.200000000001,841.0,94424.0,9193.0,10601536.0,1032152.0,100489.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2022,88.5,1.2,26.1,29.0,3256.0,317.0,26.1,1.2,29.0,3256.0,317.0,681.21,31.32,756.9000000000001,84981.6,8273.7,1.44,34.8,3907.2,380.4,841.0,94424.0,9193.0,10601536.0,1032152.0,100489.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
