,yearweek,number
245,2018-09-10,49.0
246,2018-09-17,63.0
247,2018-09-24,40.0
248,2018-10-01,51.0
249,2018-10-08,51.0
250,2018-10-15,62.0
251,2018-10-22,78.0
252,2018-10-29,74.0
253,2018-11-05,71.0
254,2018-11-12,78.0
255,2018-11-19,97.0
256,2018-11-26,109.0
257,2018-12-03,114.0
258,2018-12-10,108.0
259,2018-12-17,128.0
260,2018-12-24,160.0
